encoding,condition,noise_std,delay_steps,dropout_prob,dead_sensor_index,snn_steps,hidden_dim,n_episodes,success_rate,mean_lateral_error,mean_steps,mean_activity
rate,noise_0.00,0.0,0,0.0,-1,25,96,12,0.6666666666666666,1.0990174080469537,176.16666666666666,3.6431207306623947
rate,noise_0.04,0.04,0,0.0,-1,25,96,12,0.0,0.7567621160885635,41.166666666666664,2.396802522569786
rate,noise_0.08,0.08,0,0.0,-1,25,96,12,0.0,0.6938283075194528,34.0,2.0610116894853365
rate,noise_0.12,0.12,0,0.0,-1,25,96,12,0.0,0.6548742650853767,35.166666666666664,1.8221371118437555
rate,delay_2,0.0,2,0.0,-1,25,96,12,0.0,0.6694961497278186,19.666666666666668,2.2404784174230765
rate,dropout_0.20,0.0,0,0.2,-1,25,96,12,0.3333333333333333,0.7790416906753083,98.41666666666667,2.769922439913712
rate,dead_center,0.0,0,0.0,4,25,96,12,0.0,0.3188659343146735,48.083333333333336,1.4486012690332581
latency,noise_0.00,0.0,0,0.0,-1,25,96,12,1.0,1.253227494727873,250.5,5.5352566834720145
latency,noise_0.04,0.04,0,0.0,-1,25,96,12,0.16666666666666666,0.8514515856479058,71.41666666666667,6.6001753775314045
latency,noise_0.08,0.08,0,0.0,-1,25,96,12,0.0,0.9004533093692334,45.5,6.933914502891284
latency,noise_0.12,0.12,0,0.0,-1,25,96,12,0.0,0.8904163806341736,31.333333333333332,6.999003468581641
latency,delay_2,0.0,2,0.0,-1,25,96,12,0.0,0.8089363276468506,17.333333333333332,6.5906570961718005
latency,dropout_0.20,0.0,0,0.2,-1,25,96,12,1.0,1.2107149500075296,251.33333333333334,5.508953640402108
latency,dead_center,0.0,0,0.0,4,25,96,12,1.0,1.260138392174757,250.58333333333334,5.511788976687118
population,noise_0.00,0.0,0,0.0,-1,25,96,12,0.0,1.0050966431880501,39.333333333333336,6.656252362641418
population,noise_0.04,0.04,0,0.0,-1,25,96,12,0.0,0.8893811443645077,24.5,7.359182727042902
population,noise_0.08,0.08,0,0.0,-1,25,96,12,0.0,0.7299715845082063,39.0,7.896059069343694
population,noise_0.12,0.12,0,0.0,-1,25,96,12,0.0,0.7562511741173443,30.833333333333332,7.008247289446423
population,delay_2,0.0,2,0.0,-1,25,96,12,0.0,0.8096320924767887,17.083333333333332,8.603456208883
population,dropout_0.20,0.0,0,0.2,-1,25,96,12,0.0,0.7499653996349025,27.833333333333332,7.061338455472274
population,dead_center,0.0,0,0.0,4,25,96,12,0.0,0.9422563379038352,31.416666666666668,5.935200699713083
