policy,condition,noise_std,delay_steps,dropout_prob,dead_sensor_index,n_episodes,success_rate,mean_lateral_error,mean_steps,mean_activity
ANN,noise_0.00,0.0,0,0.0,-1,12,0.0,0.8083864763081946,13.083333333333334,1.1164368690697701
SNN,noise_0.00,0.0,0,0.0,-1,12,0.25,0.9100988112136118,94.83333333333333,3.3856752998639785
ANN,noise_0.04,0.04,0,0.0,-1,12,0.0,0.7046383885196731,21.916666666666668,1.3114705072235788
SNN,noise_0.04,0.04,0,0.0,-1,12,0.0,0.6961651674761024,20.083333333333332,2.4222651498323695
ANN,noise_0.08,0.08,0,0.0,-1,12,0.0,0.6069094028044174,46.333333333333336,2.0445810498918604
SNN,noise_0.08,0.08,0,0.0,-1,12,0.0,0.5985966524760024,24.25,2.1320248903200847
ANN,noise_0.12,0.12,0,0.0,-1,12,0.0,0.4983520189730554,55.75,2.918545672210547
SNN,noise_0.12,0.12,0,0.0,-1,12,0.0,0.5658139127605698,27.666666666666668,1.9436127763558542
ANN,delay_2,0.0,2,0.0,-1,12,0.0,0.8083864763081946,13.083333333333334,1.260485199590524
SNN,delay_2,0.0,2,0.0,-1,12,0.0,0.6114194368301115,21.666666666666668,2.3814311284301644
ANN,delay_4,0.0,4,0.0,-1,12,0.0,0.8083864763081946,13.083333333333334,1.2226449228795893
SNN,delay_4,0.0,4,0.0,-1,12,0.0,0.6380260936643227,21.416666666666668,1.8114949184802123
ANN,dropout_010,0.0,0,0.1,-1,12,0.0,0.7327186693914514,16.833333333333332,1.950901681204692
SNN,dropout_010,0.0,0,0.1,-1,12,0.16666666666666666,0.9244822541928296,80.41666666666667,3.659883206041641
ANN,dropout_020,0.0,0,0.2,-1,12,0.0,0.6215312814712196,23.5,2.8663041571917005
SNN,dropout_020,0.0,0,0.2,-1,12,0.25,0.8552774967429754,79.75,3.5700251492099517
ANN,dead_center,0.0,0,0.0,4,12,1.0,0.09282503351055527,249.33333333333334,1.256657957298139
SNN,dead_center,0.0,0,0.0,4,12,1.0,0.04318772122906131,249.66666666666666,1.953263155163888
